	en	fr	es	el	it	ar	de
quiz_item_url_2	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg
quiz_item_title_2						
quiz_item_answer_2	The picture shows the Greek minister of Economy Euclides Tsakalotos speaking in front of the painting The Scream of Norwegian painter Edvard Munch. In fact, this image is a parody: Tsakalotos was mocked for talking in front of a woman nude portait painted by Modigliani. Try the contextual menu on the picture to see the results with several image reverse search engines. The original image can be seen here:	La photo montre le ministre grec de l'Economie Euclide Tsakalotos parlant devant le tableau Le Cri du peintre norvégien Edvard Munch. En fait, cette image est une parodie : Tsakalotos a été ridiculisé pour avoir parlé devant un portrait de femme nue peint par Modigliani. Essayez le menu contextuel sur l'image pour voir les résultats avec plusieurs moteurs de recherche inversée d'images. L'image originale peut être vue ici :	La foto muestra al ministro de Economía griego Euclides Tsakalotos hablando frente al cuadro El grito del pintor noruego Edvard Munch. De hecho, esta imagen es una parodia: Se burlaron de Tsakalotos por hablar delante de un retrato de una mujer desnuda pintada por Modigliani. Pruebe el menú contextual de la imagen para ver los resultados con varios motores de búsqueda inversa de imágenes. La imagen original se puede ver aquí:	Αυτή η εικόνα είναι σύνθεση από δύο φωτογραφίες που τραβήχτηκαν το 2010 στην Αλάσκα. Για περισσότερες πληροφορίες δείτε:	La foto mostra il ministro greco dell'Economia Euclides Tsakalotos che parla di fronte al dipinto l'Urlo del pittore norvegese Edvard Munch. Infatti, questa immagine è una parodia: Tsakalotos è stato deriso per aver parlato di fronte a un retratto  di donna nuda dipinto da Modigliani. Prova il menu contestuale sull'immagine per vedere i risultati con diversi motori di ricerca inversa dell'immagine. L'immagine originale può essere vista qui:	تظهر الصورة وزير الاقتصاد اليوناني إقليدس تساكالوتوس يتحدث أمام لوحة "الصرخة" للرسام النرويجي إدوارد مونش. في الواقع ، هذه الصورة هي محاكاة ساخرة: تعرض تساكالوتوس للسخرية لتحدثه أمام صورة رسمها موديلياني. جرب قائمة السياق على الصورة لمشاهدة النتائج باستخدام محركات بحث عكسية متعددة عن الصور. يمكن رؤية الصورة الأصلية هنا	Das Bild zeigt den griechischen Wirtschaftsminister Euklides Tsakalotos, der vor dem Gemälde den Schrei des norwegischen Malers Edvard Munch spricht. Tatsächlich ist dieses Bild eine Parodie: Tsakalotos wurde verspottet, weil er vor einem von Modigliani gemalten Frau nackten Portait gesprochen hatte. Versuchen Sie das kontextbezogene Menü auf dem Bild, um die Ergebnisse mit mehreren Image -Reverse -Suchmaschinen anzuzeigen. Das Originalbild ist hier zu sehen:
quiz_item_answer_2_url	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/
quiz_item_url_3	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg
quiz_item_title_3						
quiz_item_answer_3	This picture is a composite image made from two photos taken in 2010 in Alaska. For more info see :	Cette photo est une image composite réalisée à partir de deux photos prises en 2010 en Alaska. Pour davantage d'information regarder :	Esta foto es una imagen compuesta de dos fotos tomadas en 2010 en Alaska. Para más información ver :	Αυτός ο Καναδός Σιχ είχε απεικονιστεί στο Twitter ως τρομοκράτης, φορώντας ένα γιλέκο εκρηκτικών και κρατώντας το Κοράνι πριν από τις επιθέσεις του Παρισιού τον Νοέμβριο του 2015. Στην πραγματικότητα, στην πρωτότυπη φωτογραφία που είχε δημοσιεύσει ο ίδιος, έπαιρνε μία selfie μπροστά σε καθρέφτη με το iPad του. Περισσότερες πληροφορίες:	Questa immagine è un'immagine composita composta da due foto scattate nel 2010 in Alaska. Per maggiori informazioni vedere:	هذه الصورة هي صورة مركبة نتاج صورتين تم التقاطهما في عام 2010 في ألاسكا. لمزيد من المعلومات تفقد:	Dieses Bild ist ein zusammengesetztes Bild aus zwei Fotos, die 2010 in Alaska aufgenommen wurden. Weitere Informationen finden Sie unter:
quiz_item_answer_3_url	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/
quiz_item_url_4	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg
quiz_item_title_4						
quiz_item_answer_4	This Canadian Sikh man was pictured on Twitter as a terrorist wearing a suicide vest and a Qur'an book before the Paris attacks in November 2015. In fact, in the original picture that he tweeted himself, he was taking a selfie in front of a mirror with his iPad. More info:	Cet homme sikh canadien a été photographié sur Twitter comme un terroriste portant une veste de kamikaze et un livre coranique avant les attaques de Paris en novembre 2015. En fait, sur la photo originale qu'il a lui-même tweeté, il prenait un selfie devant un miroir avec son iPad. Plus d'informations:	Este hombre sij canadiense fue fotografiado en Twitter como un terrorista que llevaba un chaleco suicida y un libro del Corán antes de los atentados de París en noviembre de 2015. De hecho, en la foto original que tuiteó el mismo, se estaba tomando una foto frente a un espejo con su iPad. Más información:	Αυτή η φωτογραφία κυκλοφόρησε στη Γαλλία ως μια συγκέντρωση φανατικών μουσουλμάνων γυναικών που περιμένουν μπροστά από το γαλλικό δημόσιο φορέα για οικογενειακές παροχές. Στην πραγματικότητα, η φωτογραφία τραβήχτηκε στο Λονδίνο έξω από ένα αστυνομικό τμήμα κατά πάσα πιθανότητα το 2015. Το λογότυπο πάνω δεξιά (από το γαλλικό δημόσιο φορέα για οικογενειακές παροχές) προστέθηκε στην πρωτότυπη εικόνα που είχε περικοπεί για να αποφευχθεί η εμφάνιση πινακίδας λεωφορείων Λονδίνου, όπως και το όνομα αστυνομικού τμήματος στο κτίριο. Περισσότερες πληροφορίες:	Questo uomo Sikh canadese è stato raffigurato su Twitter come terrorista che indossa un giubbotto suicida e un Corano prima degli attacchi di Parigi a novembre 2015. Infatti, nell'immagine originale che lui stesso ha twittato, stava prendendo un selfie di fronte a uno specchio con il suo iPad. Ulteriori informazioni:	تم تصوير هذا الرجل السيخ الكندي على تويتر كإرهابي يرتدي سترة انتحارية ويحمل قرآناً قبل هجمات باريس في نوفمبر 2015. في الواقع، في الصورة الأصلية التي قام بتغريدها، كان يأخذ صورة شخصية أمام مرآة مع جهاز iPad الخاص به. لمزيد من المعلومات:	Dieser kanadische Sikh -Mann wurde auf Twitter als Terrorist mit einer Selbstmordweste und einem Koran -Buch vor den Pariser Angriffen im November 2015 abgebildet Spiegel mit seinem iPad. Mehr Info:
quiz_item_answer_4_url	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://observers.france24.com/en/20180824-verification-guide-cropped-photo-video	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl
quiz_item_url_5	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg
quiz_item_title_5						
quiz_item_answer_5	This picture circulated in France as a gathering of muslims women waiting in front of the French public body for family benefits. In fact, the picture was taken in London outside a police station probably in 2015. The logo on the upper right from the French public body for family benefits was added to the original picture which was cropped to avoid displaying a London bus sign and the police department name on the building. More info:	Cette image a été diffusée en France comme étant un rassemblement de femmes musulmanes faisant la queue devant une Caisse d'allocations familiales. En fait, la photo a été prise à Londres devant un poste de police, en 2015. Le logo en haut à droite de la Caisse d'allocations familiales a été rajouté à la photo originale qui a été recadrée pour éviter l'affichage d'un panneau de bus londonien et le nom du service de police sur l'immeuble. Plus d'infos:	Esta imagen circuló en Francia como una reunión de mujeres musulmanas que esperaban frente al organismo público francés para recibir prestaciones familiares. De hecho, la foto fue tomada en Londres frente a una comisaría de policía en 2015. El logotipo en la parte superior derecha del organismo público francés para las prestaciones familiares se añadió a la imagen original, que fue recortada para evitar mostrar un letrero de autobús de Londres y el nombre del departamento de policía en el edificio. Más información:	Αυτή είναι η περίφημη προειδοποίηση Jordan Peele, (βίντεο) για το μέλλον των ψευδών ειδήσεων, μέσω δημόσιας διεύθυνσης του πρώην πρόεδρου Μπαράκ Ομπάμα. Χρησιμοποιώντας το Invid και την λειτουργία των χαρακτηριστικών καρέ, είναι δυνατή η ανάκτηση των αρχικών βίντεο του Ομπάμα από τον Δεκέμβριο του 2016 τα οποία χρησιμοποιήθηκαν για να δημιουργήσουν αυτό το φεύτικο βίντεο. Περισσότερες πληροφορίες:	Questa immagine è stata diffusa in Francia come riunione di donne musulmane che aspettano davanti al Fondo per gli Assegni Familiari. In effetti, la foto è stata scattata a Londra al di fuori di una stazione di polizia probabilmente nel 2015. Il logo in alto a destra del Fondo per gli Assegni Familiari francese è stato aggiunto all'immagine originale che è stata ritagliata per evitare di mostrare un segnale di autobus di Londra e il nome del dipartimento di polizia sull'edificio. Ulteriori informazioni:	تم بث هذه الصورة في فرنسا كتجمع لنساء مسلمات أثناء الاصطفاف أمام صندوق مخصصات الأسرة. في الواقع، تم التقاط الصورة في لندن أمام مركز للشرطة في عام 2015. تمت إضافة الشعار الموجود أعلى يمين صندوق إعانة الطفل إلى الصورة الأصلية التي تم قصها لتجنب عرض علامة حافلة لندن وعلامة اسم قسم الشرطة في المبنى. لمزيد من المعلومات:	Dieses Bild zirkulierte in Frankreich als Versammlung von Muslimen, die Frauen vor dem französischen öffentlichen Körper auf familiäre Vorteile warten. Tatsächlich wurde das Bild in London vor einer Polizeistation wahrscheinlich im Jahr 2015 aufgenommen. Das Logo oben rechts von der französischen öffentlichen Einrichtung für familiäre Leistungen wurde dem Originalbild hinzugefügt, das zu nicht der Anlage geschafft wurde, um nicht ein Londoner Busschild und die Polizei zu zeigen Abteilungsname auf dem Gebäude. Mehr Info:
quiz_item_answer_5_url	https://observers.france24.com/en/20180824-verification-guide-cropped-photo-video	https://factuel.afp.com/non-cette-image-ne-montre-pas-des-femmes-voilees-devant-la-caf-de-rosny-sous-bois	https://observers.france24.com/en/20180824-verification-guide-cropped-photo-video	https://observers.france24.com/en/20180824-verification-guide-cropped-photo-video	https://observers.france24.com/en/20180824-verification-guide-cropped-photo-video	https://observers.france24.com/en/20180824-verification-guide-cropped-photo-video	https://observers.france24.com/en/20180824-verification-guide-cropped-photo-video
quiz_item_url_6	https://www.youtube.com/embed/pzi7vqGos6U?rel=0	https://www.youtube.com/embed/pzi7vqGos6U?rel=0	https://www.youtube.com/embed/pzi7vqGos6U?rel=0	https://www.youtube.com/embed/VzhN7LyNJHs?rel=0	https://www.youtube.com/embed/pzi7vqGos6U?rel=0	https://www.youtube.com/embed/pzi7vqGos6U?rel=0
quiz_item_title_6						
quiz_item_answer_6	A video clip showing a drone-dispatching airship emblazoned with the Amazon logo is a powerful contender for April Fool’s joke of the year — and what makes it so powerful is that it comes close to a kind of truth.	Cette vidéo d’un ballon dirigeable arborant un logo Amazon, base de lancement de drones livreurs de colis est en réalité un poisson d’avril et un montage.	¿Broma o futuro distópico? una nave de Amazon expulsa drones repartidores de pedidos. En realidad, se trata de un montaje visual compartido por un editor de vídeo japonés por el Día de los Inocentes anglosajón, el uno de Abril.	Αυτό το ψεύτικο βίντεο είναι μία σύνθεση των προσώπων των ηθοποιών Jennifer Lawrence και Steve Bruscemi με τη χρήση τεχνητής νοημοσύνης. Χρησιμοποιώντας τις λειτουργίες των Invid χαρακτηριστικών καρέ και της αντίστροφης αναζήτησης με βάση την εικόνα, βρίσκει κανείς εύκολα το αρχικό υλικό ή την εικόνα από την τελετή Χρυσές Σφαίρες.	Questo video di un dirigibile con un logo Amazon come rampa di lancio per i droni di consegna dei pacchi è in realtà uno scherzo del pesce d'aprile e un montaggio.	مقطع الفيديو هذا لمنطاد يحمل شعار أمازون، وقاعدة إطلاق طائرات بدون طيار لتوصيل الطرود هو في الواقع "كذبة نيسان". الذي يجعله قوياً للغاية هو أنه يقترب من الحقيقة.	Ein Videoclip mit einer mit dem Amazon-Logo, die mit dem Amazon-Logo verzierten Luftschiff, das ein mächtiger Anwärter auf Aprilscherz des Jahres ist-und das, was es so mächtig macht, ist, dass es einer Art Wahrheit nahe kommt.
quiz_item_answer_6_url	https://www.snopes.com/fact-check/amazon-drone-releasing-blimp/	https://factuel.afp.com/un-dirigeable-amazon-qui-distribue-des-colis-par-drones-non-une-realisation-3d-pour-le-1er-avril	https://verne.elpais.com/verne/2019/04/03/articulo/1554283489_955125.html		https://www.snopes.com/fact-check/amazon-drone-relefise-blimp/	https://www.snopes.com/fact-check/amazon-drone-relefise-blimp/	https://www.snopes.com/fact-check/amazon-drone-relefise-blimp/
quiz_item_url_7	https://www.youtube.com/embed/Fir8tP7yHpg?rel=0	https://www.youtube.com/embed/Fir8tP7yHpg?rel=0	https://www.youtube.com/embed/Fir8tP7yHpg?rel=0	https://www.youtube.com/embed/Bp43FJ0O-Nk?rel=0	https://www.youtube.com/embed/Fir8tP7yHpg?rel=0	https://www.youtube.com/embed/Fir8tP7yHpg?rel=0	https://www.youtube.com/embed/Fir8tP7yHpg?rel=0
quiz_item_title_7						
quiz_item_answer_7	This terrifying attraction called the Gyro drop has been spreading on Facebook. Nevertheless, it does not exist: it was a video made to celebrate the 30th anniversary of a Korean amusement park.	Cette attraction terrifiante, baptisée le Gyro drop a été largement partagée sur Facebook. En fait, elle n'existe pas : il s'agit d'une vidéo fabriquée pour célébrer les 30 ans d'un parc d'attractions coréen.	Esta atracción atemorizadora de caída libre se ha hecho viral en Facebook pero es totalmente falsa. Se trata de un vídeo fabricado para celebrar los 30 años de un parque temático coreano.	Αυτό το βίντεο υποτίθεται ότι δείχνει ένα πάρκο άγριας ζωής 7D στην Ιαπωνία. Στην πραγματικότητα, προέρχεται από κλιπς εικονικής πραγματικότητας. Περισσότερες πληροφορίες:	Questa terrificante attrazione chiamata "Gyro Drop" si è diffusa su Facebook. Ciononostante, non esiste: era un video fatto per celebrare il 30 ° anniversario di un parco di divertimenti coreano.	تمت مشاركة هذه اللعبة المرعبة، الذي أطلق عليه اسم Gyro drop، على نطاق واسع في فيسبوك. في الواقع، هو غير موجود: إنه مقطع فيديو تم إنشاؤه للاحتفال بالذكرى الثلاثين لمدينة ملاهي كورية.	Diese schreckliche Attraktion namens The Gyro Drop hat sich auf Facebook verbreitet. Trotzdem existiert es nicht: Es war ein Video, um den 30. Jahrestag eines koreanischen Vergnügungsparks zu feiern.
quiz_item_answer_7_url	https://factcheck.afp.com/no-terrifying-attraction-does-not-exist	https://factuel.afp.com/non-cette-attraction-terrifiante-nexiste-pas-reellement	https://es.gizmodo.com/lo-sentimos-ese-video-viral-de-un-parque-de-atraccione-1835522338	https://factcheck.afp.com/no-not-video-7d-wildlife-park-japan	https://factcheck.afp.com/no-terrifection-attraction-does-not-exist	https://factcheck.afp.com/no-terrifection-attraction-does-not-exist	https://factcheck.afp.com/no-terrifection-attraction-does-not-exist
quiz_item_url_8	https://www.youtube.com/embed/VBa4D9D6Gng?rel=0	https://www.youtube.com/embed/VBa4D9D6Gng?rel=0	https://www.youtube.com/embed/VBa4D9D6Gng?rel=0		https://www.youtube.com/embed/VBa4D9D6Gng?rel=0	https://www.youtube.com/embed/VBa4D9D6Gng?rel=0
quiz_item_title_8						
quiz_item_answer_8	A video shared by millions on social media apparently shows two poachers posing in front of a dead lion before being attacked by a second animal. But it is a fake, made by an Australian production company.	Une vidéo partagée par des millions de personnes sur les réseaux sociaux montre apparemment deux braconniers posant devant un lion mort avant d'être attaqués par un deuxième animal. Mais il s'agit d'un faux, réalisé par une société de production australienne.	Este video compartido por millones de personas en las redes sociales muestra aparentemente a dos cazadores furtivos posando frente a un león muerto antes de ser atacados por un segundo animal. Sin embargo el video, hecho por una compañía de producción australiana, es falso.		Un video condiviso da milioni sui social media apparentemente mostra due bracconieri in posa di fronte a un leone morto prima di essere attaccati da un secondo animale. Ma è un falso, realizzato da una società di produzione australiana.	يظهر مقطع فيديو شاركه ملايين الأشخاص على وسائل التواصل الاجتماعي على ما يبدو اثنين من الصيادين أمام أسد ميت قبل أن يهاجمه حيوان آخر. لكنها مزيفة من صنع شركة إنتاج أسترالية.	Ein Video, das Millionen in sozialen Medien geteilt hat, zeigt offenbar zwei Wilderer, die vor einem toten Löwen posieren, bevor er von einem zweiten Tier angegriffen wird. Aber es ist eine Fälschung, die von einer australischen Produktionsfirma hergestellt wurde.
quiz_item_answer_8_url	https://factcheck.afp.com/couple-poachers-attacked-lion-fake-video	https://factuel.afp.com/un-couple-de-braconniers-attaque-par-un-lion-il-sagit-dune-video-truquee	https://factual.afp.com/una-pareja-de-cazadores-fue-atacada-por-un-leon-que-queria-vengar-otro-es-un-montaje		https://factcheck.afp.com/couple-poachers-attacked-lion-fake-video	https://factcheck.afp.com/couple-poachers-attacked-lion-fake-video	https://factcheck.afp.com/couple-poachers-attacked-lion-fake-video
quiz_item_url_9	https://www.youtube.com/embed/cQ54GDm1eL0?rel=0	https://www.youtube.com/embed/cQ54GDm1eL0?rel=0	https://www.youtube.com/embed/cQ54GDm1eL0?rel=0		https://www.youtube.com/embed/cQ54GDm1eL0?rel=0	https://www.youtube.com/embed/cQ54GDm1eL0?rel=0	https://www.youtube.com/embed/cQ54GDm1eL0?rel=0
quiz_item_title_9						
quiz_item_answer_9	This is the famous Jordan Peele video warning about the future of fake news through an ex-president Barack Obama public address. Using InVID and its keyframes feature, it is possible to retrieve the original videos of Obama from December 2016 that were used to make this deep fake video. More information:	C'est la célèbre vidéo de Jordan Peele qui met en garde contre l'avenir des fausses nouvelles à travers une allocution bidon de l'ancien président Barack Obama. En utilisant InVID et la fragmentation en images-clés, il est possible de récupérer les vidéos originales d'Obama de décembre 2016 qui ont été utilisées pour réaliser cette vidéo ''deep fake''. Plus d'informations :	Este es el famoso video de advertencia de Jordan Peele sobre el futuro de las noticias falsas a través de un falso anuncio público del ex presidente Barack Obama. Utilizando InVID y su función de fotogramas clave, es posible recuperar los vídeos originales de Obama de diciembre de 2016 que se utilizaron para realizar este vídeo falso ''deep fake''. Más información:		Questo è il famoso video di avvertenza di Jordan Peele sul futuro delle notizie false attraverso un discorso fasullo del ex-presidente Barack Obama. Utilizzando Invid e la funzione fotogrammi chiave, è possibile recuperare i video originali di Obama da dicembre 2016 che sono stati utilizzati per creare questo "deep fake". Ulteriori informazioni:	هذا هو الفيديو الشهير لجوردان بيل وهو يحذر من مستقبل الأخبار المزيفة من خلال خطاب زائف للرئيس السابق باراك أوباما. باستخدام InVID و keyframing، من الممكن استعادة مقاطع الفيديو الأصلية لأوباما من كانون الأول/ديسمبر 2016 والتي تم استخدامها لصنع هذا الفيديو "المزيف العميق". معلومات اكثر:	Dies ist die berühmte Jordan Peele-Videowarnung vor der Zukunft gefälschter Nachrichten durch eine Ex-Präsidentin Barack Obama öffentliche Ansprache. Mit Invid und seiner Keyframes -Funktion ist es möglich, die Originalvideos von Obama ab Dezember 2016 abzurufen, die verwendet wurden, um dieses tiefe falsche Video zu erstellen. Mehr Informationen:
quiz_item_answer_9_url	www.buzzfeednews.com/article/davidmack/obama-fake-news-jordan-peele-psa-video-buzzfeed	www.buzzfeednews.com/article/davidmack/obama-fake-news-jordan-peele-psa-video-buzzfeed	www.buzzfeednews.com/article/davidmack/obama-fake-news-jordan-peele-psa-video-buzzfeed		www.buzzfeednews.com/article/davidmack/obama-fake-news-jordan-peele-psa-video-buzzfeed	www.buzzfeednews.com/article/davidmack/obama-fake-news-jordan-peele-psa-video-buzzfeed	www.buzzfeednews.com/article/davidmack/obama-fake-news-jordan-peele-psa-video-buzzfeed
quiz_item_url_10	https://www.youtube.com/embed/VzhN7LyNJHs?rel=0	https://www.youtube.com/embed/VzhN7LyNJHs?rel=0	https://www.youtube.com/embed/VzhN7LyNJHs?rel=0		https://www.youtube.com/embed/VzhN7LyNJHs?rel=0	https://www.youtube.com/embed/VzhN7LyNJHs?rel=0	https://www.youtube.com/embed/VzhN7LyNJHs?rel=0
quiz_item_title_10						
